Target Domain,Source Domain,GPT3 Completion,Example
intoxication,destruction,destruction,He was wrecked.
intoxication,destruction,violence/physical force,He got thrashed.
amount,size,physical object (money),Can you break a twenty?
amount,size,size,I'm not a big eater.
beliefs,plants,planting/growing,I planted the belief in his mind.
beliefs,plants,plants/gardening,This is a flourishing belief in this culture.'
success,goal,travel/journey,We've made it this far in our efforts to solve the problem.
success,goal,journey/movement,We only have a short ways to go on solving this puzzle.
subjects,areas,exploration or investigation,The researchers surveyed the new material.
subjects,areas,land,"Your dissertation should stake out new territory, preferably virgin territory."
disgust,nausea,illness,You make me sick!
disgust,nausea,sickness,She's a nauseating person.
emotion,object,physical object (glass),She was shattered by his death.
emotion,object,physical object or structure.,She fell apart.
mind,object,breakage/shattering,He cracked up.
mind,object,fragility/breakability of objects.,He's mentally fragile.
opportunities,object,movement,Don't let the opportunity pass you by.
opportunities,object,objects,I took the job when it became available.
problem,object,cosmetics/makeup,Let's look at the make-up of this problem.
problem,object,physical object (i.e. tearing something apart to find its components),He tore the problem apart looking for its solution.
morality,accounting,commerce,You have to pay for your mistakes.
morality,accounting,debt/credit,I'll make it up to everyone for what I've done.
relationship,musical harmony,music,They had a harmonious relationship.
relationship,musical harmony,music/sound,They are out of tune with each other.
harm,path,obstacles,How am I supposed to learn anything if the school keeps placing roadblocks in my way?
harm,path,burden/weight,It's hard to reach the top when you're saddled with an unwanted baby.
morality,path,uprightness/ honesty,I think he's being straight with me.
morality,path,traveling/journeying,She has strayed.
creation,plants,farming,He planted seeds of doubt in my mind.
creation,plants,agriculture,China is a fertile ground for revolt.
people,plants,plants,She's a late bloomer.
people,plants,death,The grim reaper.
time,moving object,movement/progression,Thursday passed without incident.
time,moving object,space/movement,What events are up ahead?
schedule,moving object,"movement, progress",He finally caught up to schedule.
schedule,moving object,movement/progression,The class was trying to keep up with the schedule.
causation,money,financial gain/transaction,He profitted from experience.
causation,money,price/payment,Reckless skiing cost her a leg.
states,locations,falling/being in a physical location,He is in love.
states,locations,travel or journey,He is at a certain stage in his studies.
beliefs,lovers,romantic attraction,He flirted with a belief in utter hedonism in his youth.
beliefs,lovers,temptation/seduction,That's a seductive belief.
lust,machine,switch,You turn me on.
lust,machine,machine/power,"Turn my crank, baby."
mind,machine,machinery,He has a screw loose.
mind,machine,production,He churns out ideas. 
people,machine,machinery/machines,He had a breakdown.
people,machine,vehicles,Fuel up with a good breakfast.
force,moving object,physics/power/control,Greed is the strongest evil force at work in the world today.
force,moving object,gravity/movement,The force of gravity on the moon is much weaker.
change,motion,movement from a physical space to a conceptual space.,He went from innocent to worldly.
change,motion,color,His hair went gray.
ideas,motion,toys/games/sports,I'm playing with the idea of a trip to Hawaii.
ideas,motion,transportation/railways,She's got a one-track mind
shape,motion,support/structre,The tower leans.
shape,motion,landscape/topography/terrain.,The roof slopes down before it drops off steeply.
lover,possession,possession or commodity,My friend stole my loved one from me.
lover,possession,possession/ownership,I'm going to get him back.
beliefs,possessions,grasping/holding on to,She clings to his beliefs.
beliefs,possessions,plaything or object of amusement,I briefly toyed with a belief in a higher power.
harm,location,location/position,I am in trouble.
harm,location,movement or motion,They're driving me over the edge.
laughter,substance,output,You can't get a single joke out of him.
laughter,substance,tearing/shredding,He was ripping with laughter.
beliefs,support,building or construction,He chipped away at the foundation for her beliefs.
beliefs,support,physical support,What view does he uphold?
problem,target,targeting/hunting,The mayor targetted the problem of homelessness.
problem,target,warfare/hunting,He spearheaded the investigation.
seeing,touching,attraction,I couldn't take my eyes off of him.
seeing,touching,touching,Her eyes picked out a detail in the pattern.
existence,visibility,arrival or creation,New problems keep appearing.
existence,visibility,light/visibility,The controversy eventually faded away.
darkness,solid,touch/tactile experience,The darkness was palpable.
darkness,solid,pressure,Darkness pressed in on all sides.
competition,war,warfare,The debate team brought out their big guns.
competition,war,war,They battled each other over the chess board every week.
illness,war,warfare or invasion,The disease infiltrates your body and takes over.
illness,war,war,The doctors tried to wipe out the infection.
words,weapons,sharp objects,She used some sharp words.
words,weapons,weapons,He hurled insults at her.
adversity,weather,weather/environment.,The climate is right for a takeover.
adversity,weather,celebration,It rained on my parade.
communication,speech,trade/commerce.,A picture is worth a thousand words.
communication,speech,language/art,What does that painting say to you?
harm,possessions,physical force/impact,The noise gave him a headache.
harm,possessions,possession,"If you don't have your health, what have you got?"
obligations,possessions,physical weight,He's carrying a heavy load at work.
obligations,possessions,physical transfer,I dumped that project in his lap.
properties,possessions,physical sensation (pleasantness),She has a nice sense of humor.
properties,possessions,inheritance,He got his red hair from his mother.
responsibilities,possessions,burden/weight,I was the one who got the blame.
responsibilities,possessions,adhesion/sticking,They made the charges stick.
competitors,predators,animals,I said one thing and they pounced on me like a pack of dingos.
competitors,predators,animals,The conference room is a real snake pit today.
harm,prey,predator-prey relationship,I feel like a little fish surrounded by sharks.
harm,prey,hunting,The FBI lay in wait of their quarry for days.
competition,race,warfare/military conflict,The arms race.
competition,race,space/distance,"He's a better writer than I am, and he's widening the distance."
conceit,size,clothing,He's a stuffed shirt.
conceit,size,size/magnitude.,He was becoming quite grandiose when I left.
change,replacement,substance transformation,"After the experiment, the water was gone, and hydrogen and oxygen was in its place."
change,replacement,substitution/replacement,"The man I had known was gone, and in his place was an aging fool."
time,resource,a finite resource (like a limited item or commodity),We're almost out of time.
time,resource,resource/asset,Find a better use for your time.
understanding,seeing,light,Can you shed more light on this issue? I don't quite see what you are talking about.
understanding,seeing,vision/seeing,He sees only what he wants to see.
perception,shape,problem-solving,I can't figure him out.
perception,shape,shape/appearance,He cuts a splendid figure.
states,shapes,shape/size,He doesn't fit in.
states,shapes,justice,He let the punishment fit the crime
thinking,accounting,mathematics,I can put two and two together.
thinking,accounting,bookkeeping/finance,How do you account for this fact?
problem,location,navigation,Let's map out the problem before we do anything else.
problem,location,physical distance,How close are we to finding a solution?
existence,location,coming into being,It came into existence.
existence,location,vertical orientation (i.e. up/down),The question simply doesn't arise here.
meaning,container,acquisition of physical objects.,He found the knowledge in a new book.
meaning,container,quantity or weight,Harry does not exactly overload his paragraphs with thought.
sex,competition,sport/game,Did you score last night?
sex,competition,war,She surrendered to him.
body,container,container,He's a young man trapped in an old man's body.
body,container,container,"Once you get past his rude exterior, you'll find a warm and caring person inside."
difficulties,container,location/movement,How did I get myself into this situation?
difficulties,container,physical containment or entrapment.,How do we get out of this situation?
investment,container,loaning/borrowing,Put your money in bonds.
investment,container,"finance, money",I'm down to my bottom dollar.
obligations,container,burden/weight,Can you get out of doing the dishes?
obligations,container,capture or imprisonment,He trapped her into going with him.
theories,cloth,weaving or crafting,A finely woven theory.
theories,cloth,body,Let's look at the naked facts.
time,container,distance,He did it in three minutes.
time,container,object/Clock/calendar/era/period,He's like something out of the last century.
darkness,cover,secrecy/hiddenness,Under cover of darkness.
darkness,cover,loss of understanding or knowledge,Darkness closed in over us.
money,liquid,liquid,My money is all dried up.
money,liquid,liquid,Don't pour your money down the drain.
harm,destruction,destruction,He crushed the rebellion.
harm,destruction,destruction,She wrecked our marriage.
strong emotion,blindness,loss of sight/vision,He was blinded by love.
strong emotion,blindness,light,They were dazzled with excitement.
active,alive,life,The party was really alive
active,alive,life/vitality,"Lively, liven (lexical examples)"
people,batteries,electricity or energy,I'm all charged up and full of energy.
people,batteries,vehicles,I need a jump start on Monday mornings
